,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,2082,2803211HF01P,Кронштейн переднего бампера левый 2803211HF01P Hongqi H5,шт,3,0,0,3,209.3,627.9,1000,3000,252.73
,1895,3501X75HF01,Колодки тормозные передние 3501X75HF01P(3501080/90-HF01) Hongqi H5 Good quality with red flag and packaging,шт,4,0,0,4,1387.2,5548.8,4950,19800,82.81
,2039,2.906115E+022,Стойка переднего стабилизатора 2906115E16 для Hongqi H5,шт,4,0,0,4,367.2,1468.8,1090,4360,83.98
,2856,5006050HF01A004,Эмблема капота ШТАТНАЯ КРАСНАЯ ХРОМ 5006050HF01A004 HongQi H5 Original,шт,4,0,0,4,1326,5304,4900,19600,47.89
,2768,2803127HF01P,ПЛАСТИНА ОПОРНАЯ ПЕРЕДНЕГО БАМПЕРА ЛЕВАЯ 2803127HF01P Hongqi H5,шт,4,0,0,4,448.8,1795.2,1450,5800,80.6
,2765,2804212HF01P,КРОНШТЕЙН ЗАДНЕГО БАМПЕРА ПРАВЫЙ 2804212HF01P HongQi H5 Original,шт,4,0,0,4,510,2040,2050,8200,80.6
,2694,2804121HF01,Нижняя часть/юбка заднего бампера 2804121HF01/2804121HF01115P HongQi H5,шт,4,0,0,4,1285.2,5140.8,6500,26000,84.96
,1834,5006667HF01A,Дефлектор радиатора верхний 5006667HF01A HongQi H5 BRAND,шт,4,0,0,4,816,3264,2700,10800,78.83
,1879,5006320HF01,Локер передний правый 5006320-HF01/5006320HF01 HongQi H5 Original no logo,шт,4,0,0,4,1632,6528,6200,24800,84.96
,2771,1001225HF01P,Опора двигателя правая 1001225HF01P HongQi H5 original no logo,шт,4,0,0,4,3060,12240,10000,40000,80.6
,2767,2803128HF01P,ПЛАСТИНА ОПОРНАЯ ПЕРЕДНЕГО БАМПЕРА ПРАВАЯ 2803128HF01P Hongqi H5,шт,5,0,0,5,448.8,2244,1500,7500,80.6
,2669,1101211HF01P,Прокладка топливного насоса 1101211HF01P HongQi H5 Original,шт,5,0,0,5,510,2550,1090,5450,85.93
,1835,2803250HF01P,Кронштейн верхний переднего бампера 2803250HF01P HongQi H5 Original,шт,5,0,0,5,1591.2,7956,5000,25000,78.83
,2854,2803123HF01P,ПЛАСТИНА ОПОРНАЯ/СУППОРТ ПЕРЕДНЕГО БАМПЕРА ЛЕВАЯ 2803123HF01P HongQi H5,шт,5,0,0,5,306,1530,1250,6250,47.89
,2612,8105010HF01P,Радиатор кондиционера 8105010HF01P Hongqi H5 original no logo,шт,5,0,0,5,4590,22950,30599,152995,91.98
,2037,3418140HF01P,Наконечник рулевой правый 3418140HF01P для Hongqi H5 Original,шт,5,0,0,5,816,4080,4000,20000,85.93
,2772,1101212HF01P,Кольцо крепления насоса топливного 1101212HF01P HongQi H5 Original,шт,5,0,0,5,571.2,2856,1200,6000,80.6
,2613,1308010HF01P,Диффузор/вентилятор радиатора Hongqi H5 1308010HF01P original,шт,5,0,0,5,8772,43860,35000,175000,91.98
,2671,3778054MH,Антенна ключа багажника 3778054MH HongQi H5 Original,шт,5,0,0,5,1285.2,6426,6300,31500,85.93
,2852,2803312HF01885,Молдинг переднего бампера Правый черный/соты 2803312HF01885 HongQi H5 Original,шт,5,0,0,5,816,4080,2300,11500,47.89
,2740,2901035HF01P,Опора переднего амортизатора 2901035HF01P Hongqi H5 Original,шт,5,0,0,5,1489.2,7446,4550,22750,82.81
,2662,2916115HF01,Стойка стабилизатора задняя левая 2916115HF01 Hongqhi H5 Original,шт,5,0,0,5,2040,10200,4200,21000,85.93
,2778,2804315HF01P,Насадка глушителя/выхлопной трубы левая 2804315HF01P HongQi H5 original no logo,шт,5,0,0,5,3570,17850,9595,47975,80.6
,2038,3418135HF01P,Наконечник рулевой левый 3418135HF01P для Hongqi H5 Original,шт,5,0,0,5,816,4080,3200,16000,85.93
,2764,2803124HF01P,ПЛАСТИНА ОПОРНАЯ/СУППОРТ ПЕРЕДНЕГО БАМПЕРА ПРАВАЯ 2803124HF01P Hongqi H5,шт,5,0,0,5,306,1530,1600,8000,80.6
,2663,2916120HF01,Стойка стабилизатора задняя правая 2916120HF01 Hongqhi H5 Original,шт,5,0,0,5,2040,10200,4200,21000,85.93
,2857,5407580HF01004,Эмблема правой двери 5407580HF01004 HongQi H5 BRAND SIKECHUANG 5407580HF01,шт,5,0,0,5,1020,5100,4100,20500,47.89
,2853,2803311HF01885,Молдинг переднего бампера Левый черный/соты 2803311HF01885 HongQi H5 Original,шт,5,0,0,5,816,4080,2300,11500,47.89
,2770,1001425HF01P,Опора двигателя левая 1001425HF01P HongQi H5 original no logo,шт,5,0,0,5,3468,17340,10000,50000,80.6
,2661,3411160HF01,Тяга рулевая 3411160HF01 Hongqi H5 Original,шт,5,0,0,5,612,3060,3500,17500,85.93
,2664,2901031HF01,Пыльник переднего амортизатора 2901031HF01 HongQi H5,шт,6,0,0,6,1734,10404,3600,21600,85.93
,2143,5006637HF01,Дефлектор радиатора нижний 5006637HF01 HongQi H5 BRAND,шт,6,0,0,6,792.7,4756.2,3200,19200,95.53
,1878,5006315HF01,Локер передний левый 5006315-HF01/5006315HF01 HongQi H5 Original no logo,шт,6,0,0,6,1472.7,8836.2,6200,37200,112.92
